"ECO_CODE","ECOREGION","PROV_CODE","PROVINCE","RLM_CODE","REALM","ALT_CODE","ECO_CODE_X","Lat_Zone","artisanal_fishing","cumulative_impacts.gri","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","inorganic","night_lights","ocean_acidification","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","sst","uv"
20120,"Cocos-Keeling/Christmas Island",27,"Java Transitional",6,"Central Indo-Pacific",108,120,"Tropical",3.79349317397208e-05,3.57638028411353,0.00187305173379786,0.00438277075594478,0.00439036287219288,2.0947177953361e-06,1.42841511731759e-05,1.12370410019994,0,1.55275688369885e-05,0.00428288357941267,0,0,0.00015839661282852,1.66969316442812,0.76782569331764
20121,"South Kuroshio",28,"South Kuroshio",6,"Central Indo-Pacific",119,121,"Tropical",0.000948209209933224,3.69302119810098,0.108375572524803,0.105763709407965,0.0643694368567379,0.00141997163716044,0.000705321611261863,1.1651679212336,0,0.0186978701538416,0.0261653632321641,0.00144448446817557,0.000183092389274106,0.00454204529462109,1.51595156113241,0.679286634877744
20122,"Ogasawara Islands",29,"Tropical Northwestern Pacific",6,"Central Indo-Pacific",141,122,"Tropical",3.27919557185348e-07,3.89376453670673,0.041414543161285,0.0641159581901374,0.0527027149157648,7.05893041978949e-06,1.14953473604505e-05,1.18829587646134,0,0.00669162248851732,0.0272167785416488,0,0,0.000177425883790945,1.7873351274213,0.725795600880589
20123,"Mariana Islands",29,"Tropical Northwestern Pacific",6,"Central Indo-Pacific",140,123,"Tropical",0.000278442711487562,3.75366096789921,0.00452907009134594,0.0135186253923604,0.0324535723748623,0.000264245366170432,0.000128363646202754,1.17489562127374,0,0,0.046418531859439,0,0,0.000476448607023233,1.7894400501054,0.691257991597267
20124,"East Caroline Islands",29,"Tropical Northwestern Pacific",6,"Central Indo-Pacific",139,124,"Tropical",0.000223494818516347,3.18323746416555,0.0021437821623955,0.00577687124984698,0.0109483502635074,2.3589266048077e-05,1.57380926328741e-05,1.13725361401583,0,0,0.0143418402005114,0,0,0.000671885697492385,1.34562452369355,0.666213768205896
20125,"West Caroline Islands",29,"Tropical Northwestern Pacific",6,"Central Indo-Pacific",142,125,"Tropical",0.000422596122585887,3.55503951895971,0.00272127431334879,0.00774617763605421,0.0100353996292895,4.28198170949252e-05,4.66747110342169e-05,1.16127686625549,0,0.000214890902821714,0.0111928817041599,1.61931287080223e-06,3.6401909203051e-07,0.000624455528387764,1.63989054499051,0.720822946804397
20126,"Palawan/North Borneo",30,"Western Coral Triangle",6,"Central Indo-Pacific",125,126,"Tropical",0.00676914442708358,3.60635804091586,0.265458378079104,0.311193172878829,0.13991727431695,0.014042440173279,0.00113276389971531,0.99844244028747,0.00169075048828491,0.00513318227188891,0.0343215562957685,0.0131470893183424,0.00186164710182653,0.0336447476003552,1.34424320483674,0.435360246582828
20127,"Eastern Philippines",30,"Western Coral Triangle",6,"Central Indo-Pacific",121,127,"Tropical",0.0158427526478082,4.04808869289028,0.149092559098342,0.268504722168908,0.155134320032301,0.0236990129725518,0.00162186114262644,1.13614754646607,0,0.00165049931304707,0.0593448405810844,0.0127137592635067,0.00169135862819229,0.0383632698734047,1.62239048905829,0.561891706663997
20128,"Sulawesi Sea/Makassar Strait",30,"Western Coral Triangle",6,"Central Indo-Pacific",127,128,"Tropical",0.00240244902967681,3.50044363951629,0.209954224990042,0.15399516513762,0.127105761962771,0.00929956914681804,0.000532778058189475,0.998698347758957,5.80181512298268e-05,0.0030582410165785,0.048438795943998,0.00832490266428906,0.000624616626645904,0.0128905385249737,1.39772550553938,0.527334722876904
20129,"Halmahera",30,"Western Coral Triangle",6,"Central Indo-Pacific",122,129,"Tropical",0.000894640589222792,3.6862725215071,0.132859388413374,0.116716227189308,0.144844252563436,0.00500331151903818,0.000185312432476254,1.06014911121266,0,0.00364999902045491,0.0521515958065389,0.00183398481624337,4.08534770369389e-05,0.0200882101287521,1.59593877673621,0.551916851429965
